Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
M,0.15,-0.64,0.25,17.33,-203.19,-2.69
M,0.15,-0.36,0.74,11.84,-227.54,51.21
M,0.20,0.53,1.21,-6.71,-204.83,79.71
M,0.23,0.22,1.69,7.39,-176.64,-6.29
M,0.28,0.07,1.90,7.93,-135.74,-17.09
M,0.32,0.08,1.83,-0.12,-73.91,-8.61
M,0.27,0.20,1.87,-1.28,-54.32,-0.61
M,0.24,0.02,1.54,9.03,-2.32,-19.23
M,0.22,-0.10,1.23,0.92,16.48,-2.50
M,0.23,-0.04,1.10,-5.13,18.55,10.56
M,0.27,0.15,1.04,-2.62,13.73,18.92
M,0.29,0.01,1.13,9.95,21.48,-9.16
M,0.29,-0.09,1.20,9.34,38.39,-9.70
M,0.24,-0.08,1.28,11.05,76.78,7.20
M,0.16,-0.08,1.06,19.78,111.21,8.24
M,0.01,-0.27,1.01,47.97,101.87,6.16
M,-0.08,-0.05,1.19,37.41,89.48,45.17
M,-0.05,0.30,1.27,37.54,94.91,62.19
M,-0.08,0.53,1.13,39.61,128.60,44.92
M,-0.15,0.28,0.93,44.25,128.17,-0.85
M,-0.23,0.12,0.87,33.87,106.87,-4.64
M,-0.26,0.34,0.90,5.92,84.17,28.44
M,-0.24,0.44,0.80,-4.15,88.87,31.01
M,-0.25,0.45,0.84,8.00,61.95,11.96
M,-0.30,0.40,0.85,1.40,54.81,-15.26
M,-0.31,0.26,0.78,-3.48,67.75,-36.38
M,-0.33,0.10,0.60,-13.43,69.40,-29.85
M,-0.29,0.27,0.62,-23.32,45.72,-5.62
M,-0.31,0.31,0.59,-11.54,35.34,-9.16
M,-0.30,0.19,0.55,1.16,25.51,-24.48
M,-0.26,0.10,0.51,-1.34,22.03,-23.13
M,-0.24,0.07,0.43,-10.38,11.35,-7.45
M,-0.20,-0.01,0.25,0.06,-5.86,3.97
M,-0.13,-0.07,0.06,-2.87,-22.89,18.01
M,-0.01,-0.19,-0.39,-11.47,-79.53,45.29
M,0.25,0.04,-0.21,-28.99,-218.87,95.83
M,0.33,0.04,0.43,2.87,-293.58,93.32
M,0.24,-0.01,1.08,15.69,-276.86,91.55
M,0.39,0.48,1.32,-45.90,-228.70,124.76
M,0.37,0.72,1.63,-39.73,-173.40,68.48
M,0.40,0.45,1.80,-33.33,-121.46,10.19
M,0.33,0.19,1.78,-28.93,-84.29,-9.89
M,0.20,0.15,1.65,-25.63,-57.68,4.09
M,0.22,0.30,1.78,-14.10,-37.41,-2.38
M,0.24,0.17,1.72,-11.60,-5.80,-17.40
M,0.22,0.15,1.59,-10.07,21.30,-11.17
M,0.19,0.26,1.54,-1.77,38.21,-7.63
M,0.18,0.29,1.54,16.11,65.92,-23.32
M,0.09,0.27,1.39,12.88,104.61,-34.48
M,0.10,0.23,1.35,27.59,119.38,-45.96
M,0.11,0.06,1.17,49.68,148.68,-56.64
M,0.06,0.03,1.00,46.14,154.85,-42.24
M,0.05,0.10,0.84,34.61,151.12,-24.11
M,0.02,0.28,0.62,10.99,129.58,-8.61
M,0.00,0.18,0.34,8.97,94.42,-29.17
M,-0.05,0.08,0.42,-4.76,43.09,-25.21
M,-0.10,0.05,0.44,-29.30,19.78,-7.26
M,-0.02,0.11,0.38,-37.11,16.36,1.34
M,-0.00,0.12,0.20,-21.48,-19.41,3.42
M,-0.03,0.15,0.43,-3.23,-52.86,2.44
M,-0.05,0.07,0.21,-4.88,-45.23,3.97
M,-0.07,0.19,-0.05,10.99,-92.83,21.79
M,0.02,0.44,0.41,16.42,-160.34,15.50
M,0.02,-0.06,0.90,6.29,-158.57,-30.15
M,0.10,-0.02,0.91,-19.59,-135.44,16.05
M,0.15,0.19,1.28,-22.64,-145.94,20.26
M,0.16,0.11,1.46,-24.72,-111.15,0.06
M,0.27,-0.10,1.63,-14.71,-88.50,-7.81
M,0.26,-0.08,1.75,-13.12,-58.47,4.64
M,0.16,0.19,1.43,-4.39,-13.79,7.51
M,0.15,0.22,1.50,1.53,-14.59,-3.42
M,0.13,0.26,1.50,3.23,10.68,-10.74
M,0.13,0.42,1.49,-1.71,31.62,-19.41
M,0.08,0.34,1.43,-0.92,50.72,-34.79
M,0.06,0.43,1.37,3.72,70.98,-48.10
M,0.10,0.41,1.33,3.23,92.90,-72.69
M,0.09,0.23,1.23,5.49,113.10,-92.29
M,0.09,0.07,0.94,-6.96,138.37,-89.11
M,0.06,0.04,0.68,-11.78,133.73,-75.74
M,0.02,-0.04,0.66,-7.39,88.01,-67.50
M,0.02,-0.13,0.60,-17.03,75.26,-49.32
M,-0.01,-0.04,0.45,-29.30,72.27,-29.30
M,0.05,0.01,0.18,-8.61,44.86,-28.44
M,0.06,-0.09,0.18,-2.99,-6.71,-27.22
M,0.08,-0.20,0.16,-2.38,-27.10,-23.44
M,0.18,-0.27,-0.14,4.21,-68.85,18.80
M,0.15,-0.06,-0.13,11.05,-131.65,42.85
M,0.12,-0.25,0.59,37.84,-229.68,32.04
M,0.19,0.08,0.82,4.76,-183.35,70.86
M,0.34,0.49,0.99,-15.81,-179.99,65.61
M,0.25,-0.05,1.76,19.41,-190.67,4.46
M,0.47,0.36,1.87,-19.71,-120.42,42.91
M,0.50,0.26,1.92,-2.75,-93.99,19.78
M,0.40,0.05,1.69,-12.21,-27.34,-15.56
M,0.32,-0.28,1.43,4.39,-1.34,-22.28
M,0.34,-0.02,1.43,-3.30,6.96,5.68
M,0.34,0.03,1.45,7.20,26.92,3.05
M,0.32,0.00,1.37,9.70,51.45,-1.95
M,0.29,-0.01,1.38,-0.55,75.20,-8.54
M,0.18,-0.08,1.21,0.37,105.83,0.18
M,0.10,-0.20,0.96,17.21,106.14,2.75
M,0.01,-0.04,1.15,33.57,65.00,38.09
M,0.02,0.16,1.21,26.00,76.17,42.24
M,-0.02,0.14,1.17,17.21,104.61,29.54
M,-0.00,0.32,0.75,8.00,119.57,20.69
M,-0.07,0.22,0.75,21.36,88.87,-6.47
M,-0.07,-0.03,0.83,21.00,79.77,-17.09
M,-0.04,0.17,0.74,0.43,75.74,19.47
M,-0.01,0.41,0.75,2.62,68.66,16.78
M,-0.00,0.19,0.64,7.87,56.52,-18.98
M,-0.08,0.17,0.76,5.25,32.78,-8.06
M,-0.17,0.09,0.64,1.95,37.84,-8.36
M,-0.15,0.18,0.52,-10.44,26.31,10.68
M,-0.13,0.30,0.53,-9.64,8.24,7.51
M,-0.08,0.02,0.54,5.49,-8.79,-16.42
M,-0.08,-0.04,0.39,-2.38,-19.96,5.80
M,-0.06,-0.02,0.33,3.48,-41.63,15.32
M,0.06,-0.04,0.10,2.62,-75.87,27.22
M,0.18,-0.07,0.01,3.23,-112.98,30.09
M,0.20,-0.16,0.20,-22.03,-177.92,44.86
M,0.26,-0.21,1.24,-7.26,-224.98,59.08
M,0.31,0.16,1.13,-14.77,-158.45,84.59
M,0.39,0.64,1.57,-38.57,-177.19,66.71
M,0.28,0.21,1.98,-15.75,-112.24,3.66
M,0.29,0.34,1.85,-15.62,-69.27,9.83
M,0.32,0.28,1.76,-8.06,-32.29,-6.77
M,0.29,0.18,1.70,-3.36,-10.93,-17.70
M,0.32,-0.04,1.52,-1.53,17.27,-28.20
M,0.32,0.10,1.55,-2.01,44.19,-13.31
M,0.27,0.15,1.42,1.53,71.96,-16.78
M,0.13,-0.02,1.30,13.37,92.71,-30.88
M,0.01,-0.12,1.34,33.87,117.07,-21.30
M,-0.01,0.04,1.19,42.36,141.48,-8.42
M,-0.08,0.16,0.94,54.93,148.80,-16.48
M,-0.02,0.19,0.82,56.21,138.98,-26.79
M,-0.07,0.09,0.72,34.91,101.38,-23.38
M,-0.04,0.06,0.77,20.14,67.44,-8.24
M,-0.07,0.20,0.80,3.66,57.37,8.67
M,-0.05,0.28,0.52,4.46,63.66,-5.98
M,-0.04,0.27,0.52,-6.41,24.48,-16.48
M,-0.04,0.18,0.51,-10.56,11.60,-23.86
