Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
C,0.06,-0.06,1.00,3.42,-3.72,-7.32
C,0.06,-0.01,0.98,3.42,0.37,-4.58
C,0.04,-0.09,0.98,-4.27,-5.55,-10.44
C,0.05,-0.06,0.98,-2.62,-3.11,-4.76
C,0.07,0.00,0.98,1.22,1.89,-1.65
C,0.05,-0.01,1.04,3.30,-0.18,-6.29
C,0.02,-0.11,0.99,2.99,-0.61,-16.72
C,0.00,-0.06,0.98,3.42,-2.20,-10.19
C,-0.01,0.02,1.00,2.75,0.18,-5.07
C,-0.02,0.01,0.89,-0.79,1.71,-8.42
C,-0.02,-0.07,0.93,1.71,-6.84,-12.21
C,-0.01,-0.08,0.96,0.12,-9.64,-3.78
C,-0.00,-0.01,1.02,-1.28,-10.68,1.34
C,0.02,-0.03,1.00,1.04,-7.57,-2.14
C,0.03,-0.05,1.01,1.59,-7.26,-2.93
C,0.03,-0.02,1.03,1.95,-8.36,-2.20
C,0.04,-0.02,0.96,2.69,-3.17,-2.62
C,0.03,-0.02,0.99,-0.73,-2.26,-2.01
C,0.03,-0.05,1.03,2.81,-2.38,-2.99
C,0.02,-0.02,0.98,2.62,-1.71,-4.27
C,0.01,-0.03,0.93,4.88,-0.43,-5.31
C,0.02,-0.07,0.96,0.92,-4.82,-7.39
C,0.02,-0.00,0.95,0.37,-2.20,-0.61
C,0.02,-0.03,0.95,1.71,-2.69,-4.58
C,0.03,-0.09,0.98,0.79,-5.00,-6.04
C,0.05,-0.05,0.98,4.03,-0.37,-0.92
C,0.05,-0.00,1.04,4.76,-0.24,-0.55
C,0.05,-0.01,1.08,9.16,10.19,-5.74
C,0.05,-0.02,1.15,7.45,16.66,-11.23
C,0.07,0.09,1.42,9.09,39.73,-18.49
C,0.09,0.00,1.50,0.43,95.64,-47.42
C,-0.01,-0.06,0.80,4.94,133.42,-56.03
C,-0.26,-0.31,1.09,15.93,29.66,-36.93
C,-0.29,-0.08,0.94,-2.20,40.89,-9.89
C,-0.22,0.28,1.38,-1.28,46.08,-10.25
C,-0.22,-0.06,0.96,33.08,92.41,-46.08
C,-0.32,-0.20,0.82,29.66,73.55,-44.25
C,-0.39,-0.18,0.90,7.75,56.21,-13.98
C,-0.36,0.07,1.04,7.45,72.94,-11.11
C,-0.39,0.07,0.70,15.08,94.18,-25.82
C,-0.47,-0.30,0.54,15.87,64.64,-34.48
C,-0.51,-0.23,0.44,4.58,43.52,-6.90
C,-0.46,0.07,0.40,-5.25,13.67,16.72
C,-0.40,0.11,0.73,4.09,-12.82,-3.23
C,-0.33,0.11,0.74,7.75,-6.47,-11.90
C,-0.30,-0.07,0.69,12.27,-7.08,-17.09
C,-0.30,-0.02,0.82,4.09,-25.45,-4.52
C,-0.33,0.04,0.83,-2.69,-21.61,-6.41
C,-0.36,-0.09,0.94,1.34,-19.59,-15.81
C,-0.39,-0.22,1.05,-1.40,-12.76,-15.14
C,-0.41,-0.28,1.07,0.79,9.83,-2.26
C,-0.45,-0.25,1.14,15.20,18.19,7.14
C,-0.36,-0.35,1.07,10.68,25.39,16.66
C,-0.40,-0.36,0.96,9.64,40.28,53.53
C,-0.40,-0.15,0.65,19.04,27.95,88.81
C,-0.37,-0.02,0.80,23.68,11.23,99.00
C,-0.33,0.10,0.63,21.67,5.19,107.18
C,-0.29,0.24,0.69,18.37,-2.20,105.59
