Alpha, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
A,-0.2,0.07,0.47,10.19,-99.3,5.37
A,-0.11,0.09,0.28,-0.85,-110.35,9.16
A,0.01,0.08,0.53,-6.47,-172.3,12.27
A,0.09,0.16,0.65,-20.69,-190.67,19.65
A,0.27,0.14,0.84,-39.86,-213.32,10.19
A,0.33,0.02,1.78,-7.14,-193.79,-6.35
A,0.37,0.14,1.69,8.42,-114.44,-12.08
A,0.39,-0.03,1.58,19.96,-83.92,-30.94
A,0.42,-0.16,1.71,15.69,-62.56,-22.71
A,0.38,-0.09,1.65,9.34,-38.57,-8.42
A,0.32,0.01,1.61,3.85,-8.42,-6.71
A,0.27,-0.08,1.42,-1.46,22.64,-11.47
A,0.24,-0.18,1.08,-10.68,28.26,-5.07
A,0.23,-0.16,1.2,-3.17,26.79,10.8
A,0.25,-0.16,1.19,10.56,37.17,11.9
A,0.25,-0.26,1.1,20.02,62.99,22.95
A,0.19,-0.27,0.68,17.4,65.98,50.42
A,0.19,-0.23,0.89,37.17,35.71,61.83
A,0.2,-0.25,1.07,44.8,52.19,83.98
A,0.19,-0.03,1.08,42.79,65.31,97.84
A,0.13,0.12,0.79,15.26,68.36,100.4
A,0.09,0.13,0.86,17.88,48.22,87.95
A,0.12,0.17,0.82,27.22,53.71,90.45
A,0.16,0.32,0.84,19.29,41.44,93.69
A,0.1,0.66,0.81,0.85,25.82,80.08
A,0.08,0.75,0.81,-6.65,14.34,45.04
A,0.08,0.66,0.94,-4.7,4.7,6.1
A,0.04,0.66,0.83,-7.81,7.39,-6.47
A,0.04,0.85,0.78,-23.74,-17.03,-35.4
A,-0.01,1,0.59,-19.59,-25.76,-79.83
A,0.03,0.75,0.65,-21.67,-45.96,-129.46
A,0.11,0.39,0.81,-40.95,-74.83,-143.62
A,0.18,0.3,0.91,-29.42,-54.32,-152.95
A,0.31,-0.16,0.93,-31.68,-57.19,-161.99
A,0.34,-0.77,1.03,-34.42,-52.25,-105.29
A,0.34,-0.37,1.05,-14.71,-44.62,-56.95
A,0.32,-0.47,1.18,-10.62,-31.43,-47.36
A,0.32,-0.46,0.98,-10.38,-10.31,-30.15
A,0.3,-0.49,1.14,5.55,-15.87,-12.45
A,0.2,-0.17,0.99,10.68,2.62,13.49
A,0.15,-0.08,1.01,5.49,-1.28,18.62
